µçÑ¹,µçÁ÷
-329.121,-0.172
-320,0.004
-304.462,0.023
-288.406,0.023
-277.023,0.023
-268.362,0.023
-259.15,0.023
-249.775,0.023
-239.899,0.024
-228.537,0.024
-215.784,0.024
-202.461,0.024
-189.358,0.024
-176.197,0.024
-162.249,0.024
-148.484,0.025
-134.045,0.025
-118.778,0.025
-103.338,0.025
-87.059,0.025
-69.571,0.025
-52.587,0.025
-37.728,0.026
-22.724,0.026
-6.723,0.026
10.25,0.026
27.873,0.026
45.272,0.026
62.831,0.026
79.022,0.026
94.523,0.027
109.74,0.027
124.357,0.027
138.226,0.027
150.709,0.027
164.346,0.027
178.473,0.028
191.198,0.028
204.358,0.028
217.032,0.028
227.068,0.028
234.389,0.028
241.76,0.028
251.527,0.028
260.908,0.029
268.598,0.104
275.788,0.813
282.399,2.146
288.458,2.873
293.729,2.964
298.461,2.858
302.788,2.712
307.574,2.798
312.92,2.972
317.973,2.926
322.139,2.656
325.194,2.235
327.2,1.786
328.734,1.496
330.133,1.338
331.316,1.202
332.111,1.027
332.365,0.801
331.876,0.513
329.145,0.167
320.446,-0.01
305.145,-0.029
288.887,-0.029
277.281,-0.029
268.585,-0.029
259.194,-0.029
249.633,-0.029
239.665,-0.03
228.377,-0.03
215.948,-0.03
202.921,-0.03
190.097,-0.03
177.081,-0.03
163.035,-0.03
149.3,-0.03
134.972,-0.031
119.74,-0.031
104.448,-0.031
88.369,-0.031
70.831,-0.031
53.192,-0.032
37.515,-0.032
22.323,-0.032
6.21,-0.032
-10.816,-0.032
-28.527,-0.032
-45.421,-0.033
-62.442,-0.033
-78.918,-0.033
-93.757,-0.033
-107.911,-0.033
-122.1,-0.033
-136.41,-0.034
-149.935,-0.034
-164.103,-0.034
-178.497,-0.034
-191.257,-0.034
-204.375,-0.034
-217.001,-0.034
-227.152,-0.034
-234.693,-0.034
-242.145,-0.035
-251.869,-0.035
-261.02,-0.035
-268.503,-0.098
-275.571,-0.751
-282.001,-2.045
-287.785,-2.759
-292.724,-2.83
-297.404,-2.81
-302.422,-2.902
-307.891,-3.055
-313.355,-3.094
-318.214,-2.923
-322.199,-2.615
-325.198,-2.213
-327.22,-1.786
-328.776,-1.503
-330.194,-1.352
-331.398,-1.224
-332.238,-1.052
-332.539,-0.828
-332.089,-0.54
-329.375,-0.186
-320.691,0.002
-305.51,0.023
-289.354,0.023
-277.744,0.023
-269.167,0.023
-259.985,0.023
-250.558,0.023
-240.69,0.023
-229.417,0.024
-216.822,0.024
-203.617,0.024
-190.464,0.024
-177.296,0.024
-163.339,0.024
-149.496,0.024
-135.151,0.024
-119.952,0.025
-104.553,0.025
-88.329,0.025
-70.805,0.025
-53.541,0.025
-38.576,0.025
-23.819,0.026
-7.924,0.026
8.952,0.026
26.864,0.026
44.145,0.026
61.398,0.026
77.881,0.027
93.17,0.027
108.307,0.027
122.867,0.027
136.864,0.027
149.774,0.027
163.309,0.027
177.506,0.027
190.322,0.028
203.485,0.028
216.275,0.028
226.483,0.028
233.958,0.028
241.209,0.028
250.765,0.028
260.283,0.028
268.152,0.091
275.402,0.744
281.996,2.07
288.069,2.845
293.362,2.956
298.121,2.861
302.456,2.714
307.195,2.785
312.553,2.968
317.682,2.946
321.933,2.686
325.054,2.268
327.096,1.81
328.638,1.506
330.045,1.342
331.234,1.208
332.049,1.038
332.345,0.817
331.93,0.538
329.444,0.19
321.206,-0.005
306.26,-0.029
289.986,-0.029
278.184,-0.029
269.624,-0.029
260.317,-0.029
250.615,-0.029
240.556,-0.03
229.258,-0.029
216.798,-0.03
203.732,-0.03
190.887,-0.03
178.011,-0.03
164.023,-0.03
150.204,-0.03
135.974,-0.031
120.848,-0.031
105.599,-0.031
89.535,-0.031
71.972,-0.031
54.304,-0.032
38.662,-0.032
23.543,-0.032
7.491,-0.032
-9.444,-0.032
-27.266,-0.032
-44.372,-0.033
-61.475,-0.033
-77.944,-0.033
-92.735,-0.033
-106.936,-0.033
-121.158,-0.034
-135.598,-0.034
-149.155,-0.034
-163.189,-0.034
-177.679,-0.034
-190.406,-0.034
-203.373,-0.034
-216.186,-0.034
-226.454,-0.034
-234.118,-0.034
-241.599,-0.035
-251.217,-0.035
-260.506,-0.035
-268.031,-0.085
-275.101,-0.676
-281.547,-1.964
-287.376,-2.735
-292.367,-2.834
-297.07,-2.816
-302.074,-2.896
-307.497,-3.043
-312.985,-3.098
-317.927,-2.946
-322.003,-2.646
-325.079,-2.245
-327.152,-1.812
-328.736,-1.524
-330.188,-1.368
-331.422,-1.235
-332.272,-1.063
-332.6,-0.843
-332.232,-0.568
-329.87,-0.215
-321.827,-0.005
-306.938,0.023
-290.514,0.023
-278.521,0.023
-269.856,0.023
-260.741,0.023
-251.348,0.023
-241.498,0.023
-230.25,0.024
-217.689,0.024
-204.44,0.024
-191.228,0.024
-178.17,0.024
-164.3,0.024
-150.502,0.024
-136.257,0.025
-121.026,0.025
-105.548,0.025
-89.382,0.025
-72.066,0.025
-55.053,0.025
-39.94,0.025
-24.83,0.026
-8.842,0.026
7.87,0.026
25.37,0.026
42.721,0.026
60.416,0.026
76.875,0.027
92.331,0.027
107.572,0.027
122.285,0.027
136.361,0.027
148.967,0.027
162.227,0.027
176.532,0.027
189.433,0.028
202.577,0.028
215.45,0.028
225.795,0.028
233.362,0.028
240.634,0.028
250.28,0.028
259.92,0.028
267.662,0.073
274.852,0.641
281.464,1.951
287.586,2.805
292.957,2.965
297.797,2.887
302.162,2.727
306.821,2.767
312.15,2.957
317.347,2.964
321.716,2.726
324.972,2.32
327.109,1.85
328.68,1.527
330.099,1.356
331.307,1.221
332.143,1.05
332.473,0.83
332.134,0.56
329.962,0.218
322.399,0.003
307.821,-0.029
291.127,-0.029
278.706,-0.029
269.936,-0.029
260.723,-0.029
251.218,-0.029
241.427,-0.03
230.328,-0.03
217.998,-0.03
204.995,-0.03
192.021,-0.03
179.038,-0.03
165.067,-0.03
151.299,-0.03
137.196,-0.031
122.058,-0.031
106.757,-0.031
90.801,-0.031
73.4,-0.031
55.674,-0.032
39.711,-0.032
24.449,-0.032
8.58,-0.032
-8.088,-0.032
-25.918,-0.032
-43.133,-0.033
-60.242,-0.033
-76.873,-0.033
-91.771,-0.033
-105.819,-0.033
-119.822,-0.033
-134.299,-0.034
-148.171,-0.034
-162.193,-0.034
-176.845,-0.034
-189.711,-0.034
-202.565,-0.034
-215.381,-0.035
-225.856,-0.035
-233.713,-0.035
-241.088,-0.034
-250.595,-0.035
-260.027,-0.035
-267.656,-0.074
-274.796,-0.607
-281.308,-1.885
-287.187,-2.713
-292.213,-2.833
-296.886,-2.806
-301.839,-2.879
-307.245,-3.029
-312.737,-3.095
-317.701,-2.953
